User,Project Description,LDATopic,BERTopic
6,project would application uses transit information personal calendar show spatial representation planned day find optimal travel times/methods take event.,-1,0
181,Self-Service Registration schedule generator tool picking classes based wide list user preferences.,-1,0
183,"project aims develop AI-powered travel recommendation system helps users discover unconventional less-known travel destinations, providing personalized travel itineraries tips.",-1,0
200,program track people's spending habits,-1,0
217,"ecommerce platform serves intermediary consumers food producers. intermediary, create community potential customers directly contact various food producers without us needing hold stock. result, allow lower middle income users purchase food lower price create community focus minimizing waste.",-1,0
225,"BetterSchedule App website allows students input classes, need get done terms school outside school, time constraints, app creates schedule based priority events (that user decides)",-1,0
234,Roommate finding application,-1,0
242,"project would scheduling app high school. Right now, high school uses app called Saturn, recently Saturn raised privacy bullying concerns. make app specifically school(with mascot school pride slogans, similar Illinois App), maybe principal would consider it. not, could simply remove high school aspect make scheduling app anything. Although many scheduling apps there, would get good practice could also add features would otherwise pay want one app store.",-1,0
255,detailed timetable list. include timetable classes appointments. also include tomato clock record time usage.,-1,0
265,"VARGuard project aims implement risk management system, specifically focusing calculating analyzing Value Risk (VaR) portfolio assets. involves mathematical modeling optimization estimate potential loss value portfolio specific time horizon given confidence level.",-1,0
274,Gamification life,-1,0
280,web app integrates machine learning make nutritional plans users.,-1,0
282,program helps individuals keep date astronomy field. Event notifcation daily fun facts keep interested.,-1,0
292,"""Daily Task"" app helps organize to-dos list. list certain day (can also include alarm-like reminders app IOS) one thing finished, moves day check work done see day —> week —> month see tasks done IOS app compatible phones, iPads, Macs.",-1,0
302,"app marks locations various restrooms world map. People use locate get directions nearest restroom matter are. also check quality restroom, case feel discomfort certain conditions smells.",-1,0
304,Weather notifier app gives notification local weather data,-1,0
325,"project design ML application that, given national environmental survey data, would calculate popularity / probability passing certain climate policy, e.g., national carbon tax.",-1,0
328,app lets insert classes create to-do lists them.,-1,0
331,"app focus helping people create maintain garden. get tips reminders promote well-being plants. Users also able upload progress plants, get specific relevant feedback tips.",-1,0
333,Stock Market Simulator,-1,0
340,"Mobile app allows students pick dining hall specific food ate every meal give rating, based that, suggest what/where eat given day using menu every dining hall using previous ratings make decision.",-1,0
350,"Stock Price Prediction Mobile App: ""Stock Price Prediction Mobile App"" project aims develop mobile application (available iOS Android) assists users predicting future stock prices given company stock symbol. app collects historical stock price data, pre processes analyzes using machine learning techniques, provides users predictions visualizations. Key features include real-time data fetching, data preprocessing, machine learning model integration, user-friendly interface, performance evaluation. project empowers users make informed investment decisions offering accessible stock price predictions, making valuable tool novice investors looking enhance stock market knowledge.",-1,0
352,app people rank best items menu restaurant post others want visit restaurant see.,-1,0
366,program helps user pick plan life path.,-1,0
369,application designed optimize study methods like memory retention application spaced repetition techniques. would provide users structured learning schedule (like reminders) ensuring revisit reinforce previously learned material intervals working best user.,-1,0
373,Life college student Simualtion college student recreation UIUC campus. cozy 2D open world game (stardew valley vibe?),-1,0
377,lightweight productivity&planning app pull assignment deadlines various platforms.,-1,0
378,project idea develop website app analyzes user's YouTube search history identify interests connects others share similar interests. platform aims provide users easy fun way meet people common interests based YouTube usage patterns.,-1,0
174,"aim first idea develop enhanced version commonly used iClicker, device checking attendance conducting quizzes multiple-choice questions. enhanced iClicker attempt use simpler programming provide seamless efficient experience students instructors.",-1,0
172,CampusTutor - mobile app connects tutors students college campus.,-1,0
213,Daily Wear web app helps user decide wear day recording clothes arranging combinations certain basic fashion rules mind. (E.g. make whole combination color there's obvious change texture pattern clothes),-1,0
146,"project aim developing mobile app detect manage syndrome. one stop shop syndrome patients. app provide facilities detection diagnosis syndrome ways managing syndrome. also connect patients syndrome other, make app safe syndrome patients. app also recommend doctors consult according district location patient in.",-1,0
18,"Transit Planner web application allows user plan organize weekly transportation classes periodic events incorporating bus system, schedule table, well alternatives biking walking.",-1,0
21,"""FasterHelp"" - web mobile application students need tutors search UIUC campus area students willing tutor, notifications pop up, students willing tutor take schedule meeting student. kind like Uber, except tutors.",-1,0
22,"project different activities inside mobile application tests common characteristics person intoxicated state. make sure tests consistent, player basically sit hold phone upright. score certain threshold, application flag you, app send text message friends family, share location immediately call ride back home.",-1,0
28,Bus Tracking App. mobile app displays active MTD bus routes GPS location buses map access GPS location (using Google Maps base),-1,0
30,- CollegeConnect - App pairs high school students college students via messaging ask questions might,-1,0
44,"Free food calendar. Scrape discord servers websites various groups campus find theres free food, anywhere campus.",-1,0
46,"NutriChef: Create recipe recommendation system suggests dishes based users' dietary preferences nutritional constraints. Users input dietary restrictions (e.g., vegetarian, gluten-free) nutritional goals (e.g., low-carb, high-protein). system recommend recipes align constraints ensuring balanced nutritious diet.",-1,0
58,"fitness diet tracker allows user input meals, tracking number calories quantities macro- micronutrients, also input exercises, tracking areas body targeted, calories burned, etc. Possibly, tracker could also make recommendations (do exercise trends done week, meet caloric goal want gain lose weight, etc.)",-1,0
61,"mobile app similar google maps, gives map every bathroom/water fountain campus.",-1,0
154,app shows allergy-friendly restaurants area,-1,0
74,Task Manager Web Application,-1,0
76,ARC/CRCE Crowd Tracker,-1,0
390,Create program predicts NFL team preform season,-1,0
145,"App includes apartments available rent students, info features more. Filters possible apartments based location relative classes based major, prices willing pay, features. Could also respond user input linked reviews apartment.",-1,0
97,"Bus Alarm ever disembarked wrong station overslept bus? ""Bus Alarm"" app solve problems! ""Bus Alarm"" app connected metro system wakes arriving destination.",-1,0
139,"interactive visualization energy resources, including data good multiple different categories.",-1,0
123,"Trip Itinerary Website - website helps users plan trip based selected location, duration trip, number total guests. website give user activities popular attractions see rough estimates much cost per guest.",-1,0
130,"project would design interactive website Project4Less, food-recovery RSO aims reduce food waste campus addressing food insecurity Urbana-Champaign community.",-1,0
128,app tracks workouts gives reminders,-1,0
384,Flashcard Software,-1,1
142,"""T E R ' D"" (Game Development) (Java) Originally web animation, idea stickman finds middle giant game Tetris tries avoid crushed falling blocks.",-1,1
358,"real time multiplayer version sliding block puzzle game. goal game rearrange blocks get specific configuration. player solves first, wins. web application could also give user variety puzzles choose from.",-1,1
353,Dice game,-1,1
24,"Real time acceleration game: I'm really open put group involving game development, idea game could created control spaceship object simulated 3D space would accelerate, de-accelerate, move specified directions based hand movements user. would use camera program see what's going make detect hues movements scale movements game accordingly.",-1,1
334,"Card game- Make card game somewhat like Hearthstone Magic (but much simpler, obviously). I'm sure would feasible new CS student would pretty basic, like idea.",-1,1
300,2D Tile rouge-like game w/ space-station theme,-1,1
233,"would create point-and-click puzzle murder mystery game, player navigate atmospheric little town solve cryptic unsettling deaths several inhabitants. would involve deciphering riddles, solving puzzles unlock secret mechanisms, piecing together clues interactive evidence board.",-1,1
104,anime-based bullet hell dungeon crawler game mobile devices.,-1,1
299,1v1 online card-based game fantasy setting unique gimmicks,-1,1
296,VR Maze Simulation AI add challenges things towards way make harder complete course. course also randomly change paths front make hard complete.,-1,1
286,Signature verifier,-1,1
81,solver Poker gives pre-flop playing suggestions,-1,1
